"glomerulus","laterality","expected_cit","expected_RN_female_1h","expected_RN_female_SD","missing","RN_frag","receptor","odour_scenes","key_ligand","valence"
"D","bilateral","Grabe2016",24,6.1,"<25%","yes","Or69aA/B","dangerous","linalool","aversive"
"DA1","bilateral","Grabe2016",62.5,10.8,"0","no","Or67d","pheromones","cis-vaccenyl acetate","unclear"
"DA2","bilateral","Grabe2016",24,1.9,"<25%","yes","Or56a","dangerous","geosmin","aversive"
"DA3","bilateral","Grabe2016",15,0,"<25%","yes","Or23a","fruity","1-pentanol","appetitive"
"DA4l","bilateral","Grabe2016",27,3,">25%","yes","","dangerous","1-hexanol","unclear"
"DA4m","bilateral","Grabe2016",27,0,">25%","yes","Or2a","unknown","unknown","aversive"
"DC1","bilateral","Grabe2016",27,0,"0","no","Or19a","fruity/dangerous","valencene/2-nonanone","unclear"
"DC2","bilateral","Grabe2016",15,2.5,"0","no","Or13a","plant_matter","6-methyl-5-hepten-2-ol","aversive"
"DC3","bilateral","Grabe2016",15,2.9,"0","yes","Or83c","pheromones","farnesol","unclear"
"DC4","bilateral","Grabe2016",15,0,"0","no","Ir64a","dangerous","protons","aversive"
"DL1","bilateral","Grabe2016",37.5,6.5,"0","no","Or10a","fruity","methyl salicytate","aversive"
"DL2d","bilateral","Grabe2016",0,0,"0","no","Ir75a/b (subset Ir75c) (co Ir8a)","decaying_fruit","butyric acid","unclear"
"DL2v","bilateral","Grabe2016",0,0,"0","no","Ir75a/b (subset Ir75c) (co Ir8a)","decaying_fruit","butyric acid","unclear"
"DL3","bilateral","Grabe2016",19.5,0,"0","no","Or65a, Or65b, Or65c","pheromones","cis-vaccenyl acetate","unclear"
"DL4","bilateral","Grabe2016",18,3.2,"0","no","Or49a, Or85f","dangerous","iridomyrmycin","aversive"
"DL5","bilateral","Grabe2016",24,0,"0","no","Or7a","alcoholic_fermentation/dangerous/plant_matter","ethanol/benzaldehyde/2-nonanone/trans-2-hexen-1-al/green leaf volatiles","aversive"
"DM1","bilateral","Grabe2016",38.5,4.6,"0","no","Or42b","yeasty","ethyl acetate/propyl acetate","appetitive"
"DM2","bilateral","Grabe2016",8,3.9,"0","no","Or22a/b","alcoholic_fermentation/fruity","ethanol/ethyl hexanoate/hexyl acetate/ethyl butyrate","appetitive/unclear"
"DM3","bilateral","Grabe2016",34,8,"0","no","Or47a","yeasty/fruity/dangerous","amyl acetate/2,5-dimethylpyrazine","unclear/aversive"
"DM4","bilateral","Grabe2016",23,0,"0","no","Or59b","yeasty","ethyl acetate","appetitive"
"DM5","bilateral","Grabe2016",23,6,">25%","yes","Or85a, Or33b","yeasty","ethyl-3-hydroxybutyrate","aversive"
