glomerulus,fbbt_id,vfb_name,definition,synonyms,vfb_url
,FBbt_00003925,antennal lobe glomerulus,"""Discrete partition of the antennal lobe, defined by a specific set of sensory neurons (Bates et al., 2020). There are 51 olfactory and 7 non-olfactory (VP) glomeruli (Bates et al., 2020; Marin et al., 2020)."" [FlyBase:FBrf0246456, FlyBase:FBrf0246460]","""olfactory lobe glomerulus"" RELATED []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-fbbt_00003925/
D,FBbt_00003960,antennal lobe glomerulus D,"""Dorsal glomerulus of the adult antennal lobe. It lies dorsal to glomerulus DC1, and medial to glomerulus DL4."" [FlyBase:FBrf0107836]","""antennal glomerulus D"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-d-fbbt_00003960/
DA1,FBbt_00003932,antennal lobe glomerulus DA1,"""Dorso-anterior glomerulus of the adult antennal lobe. It lies ventrolateral to glomerulus DL3 and lateral to glomerulus DL4. It is larger in males than females (Grabe et al, 2016)."" [FlyBase:FBrf0107836, FlyBase:FBrf0233453]","""antennal glomerulus DA1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-da1-fbbt_00003932/
DA2,FBbt_00003933,antennal lobe glomerulus DA2,"""Dorso-anterior glomerulus of the adult antennal lobe. It lies dorsal to glomerulus VA6 and medial to glomerulus DA4."" [FlyBase:FBrf0107836]","""antennal glomerulus DA2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-da2-fbbt_00003933/
DA3,FBbt_00003934,antennal lobe glomerulus DA3,"""Dorso-anterior glomerulus of the adult antennal lobe. It lies dorsal to glomerulus D and ventrolateral to glomerulus DL3."" [FlyBase:FBrf0107836]","""antennal glomerulus DA3"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-da3-fbbt_00003934/
DA4,FBbt_00003935,antennal lobe glomerulus DA4,"""Dorso-anterior glomerulus of the adult antennal lobe. It lies dorsal to glomerulus VA6 and lateral to glomerulus DA2."" [FlyBase:FBrf0107836]","""antennal glomerulus DA4"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-da4-fbbt_00003935/
DA4l,FBbt_00007360,antennal lobe glomerulus DA4l,"""DA4 glomerulus lateral to DA4m."" [FlyBase:FBrf0187305]","""antennal lobe glomerulus DA4 lateral compartment"" EXACT [] | ""DA4l"" EXACT [FlyBase:FBrf0187305]",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-da4l-fbbt_00007360/
DA4m,FBbt_00007361,antennal lobe glomerulus DA4m,"""DA4 glomerulus medial to DA4l. It is larger in males than females (Grabe et al, 2016)."" [FlyBase:FBrf0187305, FlyBase:FBrf0233453]","""antennal lobe glomerulus DA4 medial compartment"" EXACT [] | ""DA4m"" EXACT [FlyBase:FBrf0187305]",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-da4m-fbbt_00007361/
DC1,FBbt_00003961,antennal lobe glomerulus DC1,"""Dorso-central glomerulus of the adult antennal lobe. It lies ventral to glomerulus D and dorsolateral to glomerulus DM2."" [FlyBase:FBrf0107836]","""antennal glomerulus DC1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dc1-fbbt_00003961/
DC2,FBbt_00003962,antennal lobe glomerulus DC2,"""Dorso-central glomerulus of the adult antennal lobe. It lies lateral to glomerulus VM5 and medial to glomerulus DC3."" [FlyBase:FBrf0107836]","""antennal glomerulus DC2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dc2-fbbt_00003962/
DC3,FBbt_00003963,antennal lobe glomerulus DC3,"""Dorso-central glomerulus of the adult antennal lobe. It lies lateral to glomerulus DC2 and medial to the posterior portion of glomerulus VA1l."" [FlyBase:FBrf0107836]","""antennal glomerulus DC3"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dc3-fbbt_00003963/
DC4,FBbt_00100531,antennal lobe glomerulus DC4,"""Dorsal glomerulus of the adult antennal lobe. It lies ventral to glomerulus DM3 and posterior to DC2 and DC1, and is innervated by coeloconic olfactory receptor neurons (Couto et al., 2005)."" [FlyBase:FBrf0107836, FlyBase:FBrf0187305, FlyBase:FBrf0212455, FlyBase:FBrf0219809]","""antennal glomerulus 1"" RELATED [FlyBase:FBrf0219809] | ""antennal glomerulus DC4"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dc4-fbbt_00100531/
DL1,FBbt_00003968,antennal lobe glomerulus DL1,"""Dorso-lateral glomerulus of the adult antennal lobe. It lies lateral to glomerulus DM3 and medial to glomerulus DL5."" [FlyBase:FBrf0107836]","""antennal glomerulus DL1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dl1-fbbt_00003968/
DL2,FBbt_00003969,antennal lobe glomerulus DL2,"""Dorso-lateral glomerulus of the adult antennal lobe. There are two of these, which lie ventrolateral to glomerulus DL1 and dorsomedial to glomerulus VL2a."" [FlyBase:FBrf0107836]","""antennal glomerulus DL2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dl2-fbbt_00003969/
DL2d,FBbt_00100377,antennal lobe glomerulus DL2d,"""DL2 glomerulus that is dorsal to DL2v. It lies at the dorsoventral margin of the ventral compartment and ventral to glomerulus DA1."" [FlyBase:FBrf0211729]","""antennal lobe glomerulus DL2 dorsal compartment"" EXACT [] | ""DL2d"" EXACT [FlyBase:FBrf0211729]",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dl2d-fbbt_00100377/
