source_name,canonical_glomerulus,status,source_datasets
D,D,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DA1,DA1,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DA2,DA2,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DA3,DA3,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DA4l,DA4l,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DA4m,DA4m,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DC1,DC1,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DC2,DC2,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DC3,DC3,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DC4,DC4,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DL1,DL1,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DL2d,DL2d,direct,grabe_2015; hemibrain; flywire; door_map; potter_task_2022; benton_2025; bates_schlegel_2020
DL2d/v,DL2d; DL2v,alias,door_mappings
DL2d/v+VC3,DL2d; DL2v; VC3,alias,door_mappings
DL2v,DL2v,direct,grabe_2015; hemibrain; flywire; door_map; potter_task_2022; benton_2025; bates_schlegel_2020
DL3,DL3,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DL4,DL4,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DL5,DL5,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DM1,DM1,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DM2,DM2,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DM3,DM3,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DM4,DM4,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
DM5,DM5,direct,grabe_2015; hemibrain; flywire; door_map; door_mappings; potter_task_2022; benton_2025; bates_schlegel_2020
